ConfidenceRecord,PaymentRecord,NameConfidence,AmountConfidence,max,min
urn:cite:phoros:conflevel.193,urn:cite:phoros:payrec.193,,,,
urn:cite:phoros:conflevel.194,urn:cite:phoros:payrec.194,,,,
urn:cite:phoros:conflevel.195,urn:cite:phoros:payrec.195,,,,
urn:cite:phoros:conflevel.196,urn:cite:phoros:payrec.196,,,,
urn:cite:phoros:conflevel.197,urn:cite:phoros:payrec.197,,,,
urn:cite:phoros:conflevel.198,urn:cite:phoros:payrec.198,,,,
urn:cite:phoros:conflevel.199,urn:cite:phoros:payrec.199,,,,
urn:cite:phoros:conflevel.200,urn:cite:phoros:payrec.200,,,,
urn:cite:phoros:conflevel.201,urn:cite:phoros:payrec.201,,,,
urn:cite:phoros:conflevel.202,urn:cite:phoros:payrec.202,,,,
urn:cite:phoros:conflevel.203,urn:cite:phoros:payrec.203,,,,
urn:cite:phoros:conflevel.204,urn:cite:phoros:payrec.204,,,,
urn:cite:phoros:conflevel.205,urn:cite:phoros:payrec.205,,,,
urn:cite:phoros:conflevel.206,urn:cite:phoros:payrec.206,,,,
urn:cite:phoros:conflevel.207,urn:cite:phoros:payrec.207,,,,
urn:cite:phoros:conflevel.208,urn:cite:phoros:payrec.208,,,,
urn:cite:phoros:conflevel.209,urn:cite:phoros:payrec.209,,,,
urn:cite:phoros:conflevel.210,urn:cite:phoros:payrec.210,,,,
urn:cite:phoros:conflevel.211,urn:cite:phoros:payrec.211,,,,
urn:cite:phoros:conflevel.212,urn:cite:phoros:payrec.212,,,,
urn:cite:phoros:conflevel.213,urn:cite:phoros:payrec.213,,,,
urn:cite:phoros:conflevel.214,urn:cite:phoros:payrec.214,,,,
urn:cite:phoros:conflevel.215,urn:cite:phoros:payrec.215,,,,
urn:cite:phoros:conflevel.216,urn:cite:phoros:payrec.216,,,,
urn:cite:phoros:conflevel.217,urn:cite:phoros:payrec.217,,,,
urn:cite:phoros:conflevel.218,urn:cite:phoros:payrec.218,,,,
urn:cite:phoros:conflevel.219,urn:cite:phoros:payrec.219,,,,
urn:cite:phoros:conflevel.220,urn:cite:phoros:payrec.220,,,,
urn:cite:phoros:conflevel.221,urn:cite:phoros:payrec.221,,,,
urn:cite:phoros:conflevel.222,urn:cite:phoros:payrec.222,,,,
urn:cite:phoros:conflevel.223,urn:cite:phoros:payrec.223,,,,
urn:cite:phoros:conflevel.224,urn:cite:phoros:payrec.224,,,,
urn:cite:phoros:conflevel.225,urn:cite:phoros:payrec.225,,,,
urn:cite:phoros:conflevel.226,urn:cite:phoros:payrec.226,,,,
urn:cite:phoros:conflevel.227,urn:cite:phoros:payrec.227,,,,
urn:cite:phoros:conflevel.228,urn:cite:phoros:payrec.228,,,,
urn:cite:phoros:conflevel.229,urn:cite:phoros:payrec.229,,,,
urn:cite:phoros:conflevel.230,urn:cite:phoros:payrec.230,,,,
urn:cite:phoros:conflevel.231,urn:cite:phoros:payrec.231,,,,
urn:cite:phoros:conflevel.232,urn:cite:phoros:payrec.232,,,,
urn:cite:phoros:conflevel.233,urn:cite:phoros:payrec.233,,,,
urn:cite:phoros:conflevel.234,urn:cite:phoros:payrec.234,,,,
urn:cite:phoros:conflevel.235,urn:cite:phoros:payrec.235,,,,
urn:cite:phoros:conflevel.236,urn:cite:phoros:payrec.236,,,,
urn:cite:phoros:conflevel.237,urn:cite:phoros:payrec.237,,,,
urn:cite:phoros:conflevel.238,urn:cite:phoros:payrec.238,,,,
urn:cite:phoros:conflevel.239,urn:cite:phoros:payrec.239,,,,
urn:cite:phoros:conflevel.240,urn:cite:phoros:payrec.240,,,,
urn:cite:phoros:conflevel.241,urn:cite:phoros:payrec.241,,,,
urn:cite:phoros:conflevel.242,urn:cite:phoros:payrec.242,,,,
urn:cite:phoros:conflevel.243,urn:cite:phoros:payrec.243,,,,
urn:cite:phoros:conflevel.244,urn:cite:phoros:payrec.244,,,,
urn:cite:phoros:conflevel.245,urn:cite:phoros:payrec.245,,,,
urn:cite:phoros:conflevel.246,urn:cite:phoros:payrec.246,,,,
urn:cite:phoros:conflevel.247,urn:cite:phoros:payrec.247,,,,
urn:cite:phoros:conflevel.248,urn:cite:phoros:payrec.248,,,,
urn:cite:phoros:conflevel.249,urn:cite:phoros:payrec.249,,,,
urn:cite:phoros:conflevel.250,urn:cite:phoros:payrec.250,,,,
urn:cite:phoros:conflevel.251,urn:cite:phoros:payrec.251,,,,
urn:cite:phoros:conflevel.252,urn:cite:phoros:payrec.252,,,,
urn:cite:phoros:conflevel.253,urn:cite:phoros:payrec.253,,,,
urn:cite:phoros:conflevel.254,urn:cite:phoros:payrec.254,,,,
urn:cite:phoros:conflevel.255,urn:cite:phoros:payrec.255,,,,
urn:cite:phoros:conflevel.256,urn:cite:phoros:payrec.256,,,,
urn:cite:phoros:conflevel.257,urn:cite:phoros:payrec.257,,,,
urn:cite:phoros:conflevel.258,urn:cite:phoros:payrec.258,,,,
urn:cite:phoros:conflevel.259,urn:cite:phoros:payrec.259,,,,
urn:cite:phoros:conflevel.260,urn:cite:phoros:payrec.260,,,,
urn:cite:phoros:conflevel.261,urn:cite:phoros:payrec.261,,,,
urn:cite:phoros:conflevel.262,urn:cite:phoros:payrec.262,,,,
urn:cite:phoros:conflevel.263,urn:cite:phoros:payrec.263,,,,
urn:cite:phoros:conflevel.264,urn:cite:phoros:payrec.264,,,,
urn:cite:phoros:conflevel.265,urn:cite:phoros:payrec.265,,,,
urn:cite:phoros:conflevel.266,urn:cite:phoros:payrec.266,,,,
urn:cite:phoros:conflevel.267,urn:cite:phoros:payrec.267,,,,
urn:cite:phoros:conflevel.268,urn:cite:phoros:payrec.268,,,,
urn:cite:phoros:conflevel.269,urn:cite:phoros:payrec.269,,,,
urn:cite:phoros:conflevel.270,urn:cite:phoros:payrec.270,,,,
urn:cite:phoros:conflevel.271,urn:cite:phoros:payrec.271,,,,
urn:cite:phoros:conflevel.272,urn:cite:phoros:payrec.272,,,,
urn:cite:phoros:conflevel.273,urn:cite:phoros:payrec.273,,,,
urn:cite:phoros:conflevel.274,urn:cite:phoros:payrec.274,,,,
urn:cite:phoros:conflevel.275,urn:cite:phoros:payrec.275,,,,
urn:cite:phoros:conflevel.276,urn:cite:phoros:payrec.276,,,,
urn:cite:phoros:conflevel.277,urn:cite:phoros:payrec.277,,,,
urn:cite:phoros:conflevel.278,urn:cite:phoros:payrec.278,,,,
urn:cite:phoros:conflevel.279,urn:cite:phoros:payrec.279,,,,
urn:cite:phoros:conflevel.280,urn:cite:phoros:payrec.280,,,,
urn:cite:phoros:conflevel.281,urn:cite:phoros:payrec.281,,,,
urn:cite:phoros:conflevel.282,urn:cite:phoros:payrec.282,,,,
urn:cite:phoros:conflevel.283,urn:cite:phoros:payrec.283,,,,
urn:cite:phoros:conflevel.284,urn:cite:phoros:payrec.284,,,,
urn:cite:phoros:conflevel.285,urn:cite:phoros:payrec.285,,,,
urn:cite:phoros:conflevel.286,urn:cite:phoros:payrec.286,,,,
urn:cite:phoros:conflevel.287,urn:cite:phoros:payrec.287,,,,
urn:cite:phoros:conflevel.288,urn:cite:phoros:payrec.288,,,,
urn:cite:phoros:conflevel.289,urn:cite:phoros:payrec.289,,,,
urn:cite:phoros:conflevel.290,urn:cite:phoros:payrec.290,,,,
urn:cite:phoros:conflevel.291,urn:cite:phoros:payrec.291,,,,
urn:cite:phoros:conflevel.292,urn:cite:phoros:payrec.292,,,,
urn:cite:phoros:conflevel.293,urn:cite:phoros:payrec.293,,,,
urn:cite:phoros:conflevel.294,urn:cite:phoros:payrec.294,,,,
urn:cite:phoros:conflevel.295,urn:cite:phoros:payrec.295,,,,
urn:cite:phoros:conflevel.296,urn:cite:phoros:payrec.296,,,,
urn:cite:phoros:conflevel.297,urn:cite:phoros:payrec.297,,,,
urn:cite:phoros:conflevel.298,urn:cite:phoros:payrec.298,,,,
urn:cite:phoros:conflevel.299,urn:cite:phoros:payrec.299,,,,
urn:cite:phoros:conflevel.300,urn:cite:phoros:payrec.300,,,,
urn:cite:phoros:conflevel.301,urn:cite:phoros:payrec.301,,,,
urn:cite:phoros:conflevel.302,urn:cite:phoros:payrec.302,,,,
urn:cite:phoros:conflevel.303,urn:cite:phoros:payrec.303,,,,
urn:cite:phoros:conflevel.304,urn:cite:phoros:payrec.304,,,,
urn:cite:phoros:conflevel.305,urn:cite:phoros:payrec.305,,,,
urn:cite:phoros:conflevel.306,urn:cite:phoros:payrec.306,,,,
urn:cite:phoros:conflevel.307,urn:cite:phoros:payrec.307,,,,
urn:cite:phoros:conflevel.308,urn:cite:phoros:payrec.308,,,,
urn:cite:phoros:conflevel.309,urn:cite:phoros:payrec.309,,,,
urn:cite:phoros:conflevel.310,urn:cite:phoros:payrec.310,,,,
urn:cite:phoros:conflevel.311,urn:cite:phoros:payrec.311,,,,
urn:cite:phoros:conflevel.312,urn:cite:phoros:payrec.312,,,,
urn:cite:phoros:conflevel.313,urn:cite:phoros:payrec.313,,,,
urn:cite:phoros:conflevel.314,urn:cite:phoros:payrec.314,,,,
urn:cite:phoros:conflevel.315,urn:cite:phoros:payrec.315,,,,
urn:cite:phoros:conflevel.316,urn:cite:phoros:payrec.316,,,,
urn:cite:phoros:conflevel.317,urn:cite:phoros:payrec.317,,,,
urn:cite:phoros:conflevel.318,urn:cite:phoros:payrec.318,,,,
urn:cite:phoros:conflevel.319,urn:cite:phoros:payrec.319,,,,
urn:cite:phoros:conflevel.320,urn:cite:phoros:payrec.320,,,,
urn:cite:phoros:conflevel.321,urn:cite:phoros:payrec.321,,,,
urn:cite:phoros:conflevel.322,urn:cite:phoros:payrec.322,,,,
urn:cite:phoros:conflevel.323,urn:cite:phoros:payrec.323,,,,
urn:cite:phoros:conflevel.324,urn:cite:phoros:payrec.324,,,,
urn:cite:phoros:conflevel.325,urn:cite:phoros:payrec.325,,,,
urn:cite:phoros:conflevel.326,urn:cite:phoros:payrec.326,,,,
urn:cite:phoros:conflevel.327,urn:cite:phoros:payrec.327,,,,
urn:cite:phoros:conflevel.328,urn:cite:phoros:payrec.328,,,,
urn:cite:phoros:conflevel.329,urn:cite:phoros:payrec.329,,,,
urn:cite:phoros:conflevel.330,urn:cite:phoros:payrec.330,,,,
urn:cite:phoros:conflevel.331,urn:cite:phoros:payrec.331,,,,
urn:cite:phoros:conflevel.332,urn:cite:phoros:payrec.332,,,,
urn:cite:phoros:conflevel.333,urn:cite:phoros:payrec.333,,,,
urn:cite:phoros:conflevel.334,urn:cite:phoros:payrec.334,,,,
urn:cite:phoros:conflevel.335,urn:cite:phoros:payrec.335,,,,
urn:cite:phoros:conflevel.336,urn:cite:phoros:payrec.336,,,,
urn:cite:phoros:conflevel.337,urn:cite:phoros:payrec.337,,,,
urn:cite:phoros:conflevel.338,urn:cite:phoros:payrec.338,,,,
urn:cite:phoros:conflevel.339,urn:cite:phoros:payrec.339,,,,
urn:cite:phoros:conflevel.340,urn:cite:phoros:payrec.340,,,,
urn:cite:phoros:conflevel.341,urn:cite:phoros:payrec.341,,,,
urn:cite:phoros:conflevel.342,urn:cite:phoros:payrec.342,,,,
urn:cite:phoros:conflevel.343,urn:cite:phoros:payrec.343,,,,
urn:cite:phoros:conflevel.344,urn:cite:phoros:payrec.344,,,,
urn:cite:phoros:conflevel.345,urn:cite:phoros:payrec.345,,,,
urn:cite:phoros:conflevel.346,urn:cite:phoros:payrec.346,,,,
urn:cite:phoros:conflevel.347,urn:cite:phoros:payrec.347,,,,
urn:cite:phoros:conflevel.348,urn:cite:phoros:payrec.348,,,,
urn:cite:phoros:conflevel.349,urn:cite:phoros:payrec.349,,,,
urn:cite:phoros:conflevel.350,urn:cite:phoros:payrec.350,,,,
urn:cite:phoros:conflevel.351,urn:cite:phoros:payrec.351,,,,
urn:cite:phoros:conflevel.352,urn:cite:phoros:payrec.352,,,,
urn:cite:phoros:conflevel.353,urn:cite:phoros:payrec.353,,,,
urn:cite:phoros:conflevel.354,urn:cite:phoros:payrec.354,,,,
urn:cite:phoros:conflevel.355,urn:cite:phoros:payrec.355,,,,
urn:cite:phoros:conflevel.356,urn:cite:phoros:payrec.356,,,,
urn:cite:phoros:conflevel.357,urn:cite:phoros:payrec.357,,,,
urn:cite:phoros:conflevel.358,urn:cite:phoros:payrec.358,,,,
urn:cite:phoros:conflevel.359,urn:cite:phoros:payrec.359,,,,
urn:cite:phoros:conflevel.360,urn:cite:phoros:payrec.360,,,,
urn:cite:phoros:conflevel.361,urn:cite:phoros:payrec.361,,,,
urn:cite:phoros:conflevel.362,urn:cite:phoros:payrec.362,,,,
urn:cite:phoros:conflevel.363,urn:cite:phoros:payrec.363,,,,
urn:cite:phoros:conflevel.364,urn:cite:phoros:payrec.364,,,,
urn:cite:phoros:conflevel.365,urn:cite:phoros:payrec.365,,,,
urn:cite:phoros:conflevel.366,urn:cite:phoros:payrec.366,,,,
urn:cite:phoros:conflevel.367,urn:cite:phoros:payrec.367,,,,
urn:cite:phoros:conflevel.368,urn:cite:phoros:payrec.368,,,,
urn:cite:phoros:conflevel.369,urn:cite:phoros:payrec.369,,,,
urn:cite:phoros:conflevel.370,urn:cite:phoros:payrec.370,,,,
urn:cite:phoros:conflevel.371,urn:cite:phoros:payrec.371,,,,
urn:cite:phoros:conflevel.372,urn:cite:phoros:payrec.372,,,,
urn:cite:phoros:conflevel.373,urn:cite:phoros:payrec.373,,,,
