Urn,State,Seq
urn:cite:phoros:seqcommon.310,urn:cite:phoros:places.14,310
urn:cite:phoros:seqcommon.311,urn:cite:phoros:places.55,311
urn:cite:phoros:seqcommon.312,urn:cite:phoros:places.51,312
urn:cite:phoros:seqcommon.313,urn:cite:phoros:places.16,313
urn:cite:phoros:seqcommon.314,urn:cite:phoros:places.209,314
urn:cite:phoros:seqcommon.315,urn:cite:phoros:places.210,315
urn:cite:phoros:seqcommon.316,urn:cite:phoros:places.72,316
urn:cite:phoros:seqcommon.317,urn:cite:phoros:places.180,317
urn:cite:phoros:seqcommon.318,urn:cite:phoros:places.161,318
urn:cite:phoros:seqcommon.319,urn:cite:phoros:places.211,319
urn:cite:phoros:seqcommon.320,urn:cite:phoros:places.27,320
urn:cite:phoros:seqcommon.321,urn:cite:phoros:places.28,321
urn:cite:phoros:seqcommon.322,urn:cite:phoros:places.29,322
urn:cite:phoros:seqcommon.323,urn:cite:phoros:places.30,323
urn:cite:phoros:seqcommon.324,urn:cite:phoros:places.33,324
urn:cite:phoros:seqcommon.325,urn:cite:phoros:places.63,325
urn:cite:phoros:seqcommon.326,urn:cite:phoros:places.63,326
urn:cite:phoros:seqcommon.327,urn:cite:phoros:places.34,327
urn:cite:phoros:seqcommon.328,urn:cite:phoros:places.34,328
urn:cite:phoros:seqcommon.329,urn:cite:phoros:places.156,329
urn:cite:phoros:seqcommon.330,urn:cite:phoros:places.192,330
urn:cite:phoros:seqcommon.331,urn:cite:phoros:places.130,331
urn:cite:phoros:seqcommon.332,urn:cite:phoros:places.192,332
urn:cite:phoros:seqcommon.333,urn:cite:phoros:places.197,333
urn:cite:phoros:seqcommon.334,urn:cite:phoros:places.115,334
urn:cite:phoros:seqcommon.335,urn:cite:phoros:places.159,335
urn:cite:phoros:seqcommon.336,urn:cite:phoros:places.198,336
urn:cite:phoros:seqcommon.337,urn:cite:phoros:places.154,337
urn:cite:phoros:seqcommon.338,urn:cite:phoros:places.177urn:cite:phoros:places.66urn:cite:phoros:places.212,338
urn:cite:phoros:seqcommon.339,urn:cite:phoros:places.178,339
urn:cite:phoros:seqcommon.340,urn:cite:phoros:places.60,340
urn:cite:phoros:seqcommon.341,urn:cite:phoros:places.151,341
urn:cite:phoros:seqcommon.342,urn:cite:phoros:places.131,342
urn:cite:phoros:seqcommon.343,urn:cite:phoros:places.188,343
urn:cite:phoros:seqcommon.344,urn:cite:phoros:places.157,344
urn:cite:phoros:seqcommon.345,urn:cite:phoros:places.193,345
urn:cite:phoros:seqcommon.346,urn:cite:phoros:places.213,346
urn:cite:phoros:seqcommon.347,urn:cite:phoros:places.22,347
urn:cite:phoros:seqcommon.348,urn:cite:phoros:places.61,348
urn:cite:phoros:seqcommon.349,urn:cite:phoros:places.149,349
urn:cite:phoros:seqcommon.350,urn:cite:phoros:places.166,350
urn:cite:phoros:seqcommon.351,urn:cite:phoros:places.146,351
urn:cite:phoros:seqcommon.352,urn:cite:phoros:places.95,352
urn:cite:phoros:seqcommon.353,urn:cite:phoros:places.24,353
urn:cite:phoros:seqcommon.354,urn:cite:phoros:places.3,354
urn:cite:phoros:seqcommon.355,urn:cite:phoros:places.143,355
urn:cite:phoros:seqcommon.356,urn:cite:phoros:places.190,356
urn:cite:phoros:seqcommon.357,urn:cite:phoros:places.152,357
urn:cite:phoros:seqcommon.358,urn:cite:phoros:places.145,358
urn:cite:phoros:seqcommon.359,urn:cite:phoros:places.114,359
urn:cite:phoros:seqcommon.360,urn:cite:phoros:places.61,360
urn:cite:phoros:seqcommon.361,urn:cite:phoros:places.19,361
urn:cite:phoros:seqcommon.362,urn:cite:phoros:places.214,362
urn:cite:phoros:seqcommon.363,urn:cite:phoros:places.150,363
urn:cite:phoros:seqcommon.364,urn:cite:phoros:places.191,364
urn:cite:phoros:seqcommon.365,urn:cite:phoros:places.42,365
urn:cite:phoros:seqcommon.366,urn:cite:phoros:places.13,366
urn:cite:phoros:seqcommon.367,urn:cite:phoros:places.77,367
