Payment,TextPassage,TextContent,Sequence,Year,Place,Obols,ChangeStatus,ChangeAmount
urn:cite:phoros:payrec.106,urn:cts:phoros:stele1.year2:.4.15,ΑΡΙΣΒΑΙΟΙ,106,2,urn:cite:phoros:places.91,1200,same,0
urn:cite:phoros:payrec.107,urn:cts:phoros:stele1.year2:.4.16,ΑΙΓΙΝΕΤΑΙ,107,2,urn:cite:phoros:places.80,18000,up,15000
urn:cite:phoros:payrec.110,urn:cts:phoros:stele1.year2:.5.11,ΑΣΤΥΠΑΛΑΙΕΣ,110,2,urn:cite:phoros:places.92,1200,same,0
urn:cite:phoros:payrec.111,urn:cts:phoros:stele1.year2:.5.12,ΣΑΜΟΘΡΑΙΚΕΣ,111,2,urn:cite:phoros:places.93,1800,same,0
urn:cite:phoros:payrec.112,urn:cts:phoros:stele1.year2:.5.15,ΕΦΑΙΣΣΤΙΕΣ,112,2,urn:cite:phoros:places.94,,,
urn:cite:phoros:payrec.113,urn:cts:phoros:stele1.year2:.5.16,ΛΑΜΦΣΑΚΕΝΟΙ,113,2,urn:cite:phoros:places.95,7200,same,0
urn:cite:phoros:payrec.114,urn:cts:phoros:stele1.year2:.6.7,ΟΙΝΑΙΟΙ,114,2,urn:cite:phoros:places.34,800,same,0
urn:cite:phoros:payrec.115,urn:cts:phoros:stele1.year2:.6.8,ΕΝΙΚΑΡΟΙ,115,2,urn:cite:phoros:places.34,,,
urn:cite:phoros:payrec.116,urn:cts:phoros:stele1.year2:.6.9,ΚΟΛΟΦΟΝΙΟΙ,116,2,urn:cite:phoros:places.23,1800,same,0
urn:cite:phoros:payrec.117,urn:cts:phoros:stele1.year2:.6.10,ΝΟΤΙΕΣ,117,2,urn:cite:phoros:places.24,200,same,0
urn:cite:phoros:payrec.118,urn:cts:phoros:stele1.year2:.6.11,ΔΙΟΣΙΡΙΤΑΙ,118,2,urn:cite:phoros:places.25,100,same,0
urn:cite:phoros:payrec.119,urn:cts:phoros:stele1.year2:.6.12,ΕΦΕΣΙΟΙ,119,2,urn:cite:phoros:places.4,4500,same,0
urn:cite:phoros:payrec.120,urn:cts:phoros:stele1.year2:.6.13,ΙΑΤΑΙ,120,2,urn:cite:phoros:places.77,600,same,0
urn:cite:phoros:payrec.121,urn:cts:phoros:stele1.year2:.6.14,ΑΙΝΙΟΙ,121,2,urn:cite:phoros:places.5,7200,same,0
urn:cite:phoros:payrec.122,urn:cts:phoros:stele1.year2:.6.15,ΜΥΝΔΙΟΙ,122,2,urn:cite:phoros:places.96,50,same,0
urn:cite:phoros:payrec.123,urn:cts:phoros:stele1.year2:.6.16,ΑΥΛΙΑΤΑΙ,123,2,urn:cite:phoros:places.76,50,same,0
urn:cite:phoros:payrec.124,urn:cts:phoros:stele1.year2:.6.17,ΚΑΡΒΑΣΥΑΝΔΕΣ,124,2,urn:cite:phoros:places.46,100,same,0
urn:cite:phoros:payrec.125,urn:cts:phoros:stele1.year2:.6.18,ΜΑΡΟΝΙΤΑΙ,125,2,urn:cite:phoros:places.32,900,same,0
urn:cite:phoros:payrec.126,urn:cts:phoros:stele1.year2:.7.15,ΓΡΥΝΕΙΕΣ,126,2,urn:cite:phoros:places.97,100,same,0
urn:cite:phoros:payrec.127,urn:cts:phoros:stele1.year2:.7.16,ΠΙΤΑΝΑΙΟΙ,127,2,urn:cite:phoros:places.11,100,same,0
urn:cite:phoros:payrec.128,urn:cts:phoros:stele1.year2:.7.17,ΑΣΤΑΚΕΝΟΙ,128,2,urn:cite:phoros:places.29,900,same,0
urn:cite:phoros:payrec.129,urn:cts:phoros:stele1.year2:.7.18,ΣΠΑΡΤΟΛΙΟΙ,129,2,urn:cite:phoros:places.26,1200,same,0
urn:cite:phoros:payrec.130,urn:cts:phoros:stele1.year2:right.8.13,ΛΕΦΣΙΜΑΝΙΟΙ,130,2,urn:cite:phoros:places.83,,,
urn:cite:phoros:payrec.131,urn:cts:phoros:stele1.year2:right.8.14,ΚΑΣΟΛΑΒΕ Σ,131,2,urn:cite:phoros:places.50,250,same,0
urn:cite:phoros:payrec.132,urn:cts:phoros:stele1.year2:right.8.15,ΣΤΟΛΙΟΙ,132,2,urn:cite:phoros:places.58,,,
urn:cite:phoros:payrec.133,urn:cts:phoros:stele1.year2:right.8.16,ΠΟΛΙΧΝΙΤΑΙ,133,2,urn:cite:phoros:places.59,,,
urn:cite:phoros:payrec.134,urn:cts:phoros:stele1.year2:right.8.17,ΣΙΓΓΙΟΙ,134,2,urn:cite:phoros:places.60,,,
urn:cite:phoros:payrec.135,urn:cts:phoros:stele1.year2:right.8.18,ΣΑΝΑΙΟΙ,135,2,urn:cite:phoros:places.14,600,same,0
urn:cite:phoros:payrec.136,urn:cts:phoros:stele1.year2:right.9.2,ΗΑΙΡΑΙΟΙ,136,2,urn:cite:phoros:places.27,1800,same,0
urn:cite:phoros:payrec.137,urn:cts:phoros:stele1.year2:right.9.3,ΝΕΟΠΟΛΙΤΑΙ,137,2,urn:cite:phoros:places.30,300,down,50
urn:cite:phoros:payrec.138,urn:cts:phoros:stele1.year2:right.9.4,ΟΛΥΝΘΙΟΙ,138,2,urn:cite:phoros:places.53,1200,same,0
urn:cite:phoros:payrec.139,urn:cts:phoros:stele1.year2:right.9.5,ΜΕΚΥΒΕΡΝΑΙΟΙ,139,2,urn:cite:phoros:places.57,600,same,0
urn:cite:phoros:payrec.140,urn:cts:phoros:stele1.year2:right.9.6,ΣΕΡΜΥΛΙΕΣ,140,2,urn:cite:phoros:places.56,,,
urn:cite:phoros:payrec.141,urn:cts:phoros:stele1.year2:right.9.7,ΠΑΛΕΦΣΙΟΙ,141,2,urn:cite:phoros:places.40,900,same,0
urn:cite:phoros:payrec.142,urn:cts:phoros:stele1.year2:right.9.8,ΔΙΚΑΙΟΠΟΛΙΤΑΙ,142,2,urn:cite:phoros:places.43,,,
urn:cite:phoros:payrec.143,urn:cts:phoros:stele1.year2:right.9.9,ΚΛΑΖΟΜΕΝΙΟΙ,143,2,urn:cite:phoros:places.44,900,same,0
urn:cite:phoros:payrec.144,urn:cts:phoros:stele1.year2:right.10.2,ΠΕΛΕΙΑΤΑΙ,144,2,urn:cite:phoros:places.98,400,same,0
urn:cite:phoros:payrec.145,urn:cts:phoros:stele1.year2:right.10.3,ΛΑΤΜΙΟΙ,145,2,urn:cite:phoros:places.99,600,same,0
urn:cite:phoros:payrec.146,urn:cts:phoros:stele1.year2:right.10.4,ΠΑΡΙΑΝΟΙ,146,2,urn:cite:phoros:places.78,600,same,0
urn:cite:phoros:payrec.147,urn:cts:phoros:stele1.year2:right.10.5,ΒΟΥΘΕΙΕΒΟΥΘΕΙΕΣ,147,2,urn:cite:phoros:places.66,1800,same,0
urn:cite:phoros:payrec.148,urn:cts:phoros:stele1.year2:right.10.6,ΧΕΡΡΟΝΕΣΙΤΑΙ,148,2,urn:cite:phoros:places.18,10800,same,0
urn:cite:phoros:payrec.149,urn:cts:phoros:stele1.year2:right.10.7,ΠΕΔΑΣΕΣ,149,2,urn:cite:phoros:places.100,1200,same,0
