Payment,TextPassage
urn:cite:phoros:payrec.270,urn:cts:phoros:stele1.year:front.5.17
urn:cite:phoros:payrec.271,urn:cts:phoros:stele1.year:front.5.18
urn:cite:phoros:payrec.272,urn:cts:phoros:stele1.year:front.5.19
urn:cite:phoros:payrec.273,urn:cts:phoros:stele1.year:front.5.20
urn:cite:phoros:payrec.274,urn:cts:phoros:stele1.year:front.5.21
urn:cite:phoros:payrec.275,urn:cts:phoros:stele1.year:front.5.22
urn:cite:phoros:payrec.276,urn:cts:phoros:stele1.year:front.5.23
urn:cite:phoros:payrec.277,urn:cts:phoros:stele1.year:front.5.24
urn:cite:phoros:payrec.278,urn:cts:phoros:stele1.year:front.5.25
urn:cite:phoros:payrec.279,urn:cts:phoros:stele1.year:front.5.26
urn:cite:phoros:payrec.280,urn:cts:phoros:stele1.year:front.5.27
urn:cite:phoros:payrec.281,urn:cts:phoros:stele1.year:front.5.28
urn:cite:phoros:payrec.282,urn:cts:phoros:stele1.year:front.5.29
urn:cite:phoros:payrec.283,urn:cts:phoros:stele1.year:front.5.30
urn:cite:phoros:payrec.284,urn:cts:phoros:stele1.year:
urn:cite:phoros:payrec.285,urn:cts:phoros:stele1.year:front.1.2
urn:cite:phoros:payrec.286,urn:cts:phoros:stele1.year:front.1.3
urn:cite:phoros:payrec.287,urn:cts:phoros:stele1.year:front.1.4
urn:cite:phoros:payrec.288,urn:cts:phoros:stele1.year:front.1.5
urn:cite:phoros:payrec.289,urn:cts:phoros:stele1.year:front.1.6
urn:cite:phoros:payrec.290,urn:cts:phoros:stele1.year:front.1.7
urn:cite:phoros:payrec.291,urn:cts:phoros:stele1.year:front.1.8
urn:cite:phoros:payrec.292,urn:cts:phoros:stele1.year:front.1.9
urn:cite:phoros:payrec.293,urn:cts:phoros:stele1.year:front.1.10
urn:cite:phoros:payrec.294,urn:cts:phoros:stele1.year:front.1.11
urn:cite:phoros:payrec.295,urn:cts:phoros:stele1.year:front.1.12
urn:cite:phoros:payrec.296,urn:cts:phoros:stele1.year:front.1.13
urn:cite:phoros:payrec.297,urn:cts:phoros:stele1.year:front.1.14
urn:cite:phoros:payrec.298,urn:cts:phoros:stele1.year:front.1.15
urn:cite:phoros:payrec.299,urn:cts:phoros:stele1.year:front.1.16
urn:cite:phoros:payrec.300,urn:cts:phoros:stele1.year:front.1.17
urn:cite:phoros:payrec.301,urn:cts:phoros:stele1.year:front.1.18
urn:cite:phoros:payrec.302,urn:cts:phoros:stele1.year:front.1.19
urn:cite:phoros:payrec.303,urn:cts:phoros:stele1.year:front.1.20
urn:cite:phoros:payrec.304,urn:cts:phoros:stele1.year:front.1.21
urn:cite:phoros:payrec.305,urn:cts:phoros:stele1.year:front.1.22
urn:cite:phoros:payrec.306,urn:cts:phoros:stele1.year:front.1.23
urn:cite:phoros:payrec.307,urn:cts:phoros:stele1.year:front.1.24
urn:cite:phoros:payrec.308,urn:cts:phoros:stele1.year:front.1.25
urn:cite:phoros:payrec.309,urn:cts:phoros:stele1.year:front.1.26
urn:cite:phoros:payrec.310,urn:cts:phoros:stele1.year:front.1.27
urn:cite:phoros:payrec.311,urn:cts:phoros:stele1.year:front.1.28
urn:cite:phoros:payrec.312,urn:cts:phoros:stele1.year:front.1.29
urn:cite:phoros:payrec.313,urn:cts:phoros:stele1.year:front.1.30
urn:cite:phoros:payrec.314,urn:cts:phoros:stele1.year:front.1.31
urn:cite:phoros:payrec.315,urn:cts:phoros:stele1.year:front.1.32
urn:cite:phoros:payrec.316,urn:cts:phoros:stele1.year:front.1.33
urn:cite:phoros:payrec.317,urn:cts:phoros:stele1.year:front.2.2
