urn:cts:phoros:stele1.year4:front.4.7,urn:cite:phoros:places.3
urn:cts:phoros:stele1.year4:front.4.8,urn:cite:phoros:places.116
urn:cts:phoros:stele1.year4:front.4.9,urn:cite:phoros:places.123
urn:cts:phoros:stele1.year4:front.4.10,urn:cite:phoros:places.158
urn:cts:phoros:stele1.year4:front.4.11,urn:cite:phoros:places.23
urn:cts:phoros:stele1.year4:front.4.12,urn:cite:phoros:places.5
urn:cts:phoros:stele1.year4:front.4.13,urn:cite:phoros:places.6
urn:cts:phoros:stele1.year4:front.4.14,urn:cite:phoros:places.159
urn:cts:phoros:stele1.year4:front.4.15,urn:cite:phoros:places.160
urn:cts:phoros:stele1.year4:front.4.16,urn:cite:phoros:places.53
urn:cts:phoros:stele1.year4:front.4.17,urn:cite:phoros:places.54
urn:cts:phoros:stele1.year4:front.4.18,urn:cite:phoros:places.39
urn:cts:phoros:stele1.year4:front.4.19,urn:cite:phoros:places.161
urn:cts:phoros:stele1.year4:front.4.20,urn:cite:phoros:places.86
urn:cts:phoros:stele1.year4:front.4.21,urn:cite:phoros:places.35
urn:cts:phoros:stele1.year4:front.4.22,urn:cite:phoros:places.36
urn:cts:phoros:stele1.year4:front.4.23,urn:cite:phoros:places.37
urn:cts:phoros:stele1.year4:front.4.24,urn:cite:phoros:places.133
urn:cts:phoros:stele1.year4:front.4.25,urn:cite:phoros:places.19
urn:cts:phoros:stele1.year4:front.4.26,urn:cite:phoros:places.65
urn:cts:phoros:stele1.year4:front.4.27,urn:cite:phoros:places.162
urn:cts:phoros:stele1.year4:front.4.28,urn:cite:phoros:places.70
urn:cts:phoros:stele1.year4:front.4.29,urn:cite:phoros:places.163
urn:cts:phoros:stele1.year4:front.4.30,urn:cite:phoros:places.120
urn:cts:phoros:stele1.year4:front.4.32,urn:cite:phoros:places.132
urn:cts:phoros:stele1.year4:front.5.2,urn:cite:phoros:places.128
urn:cts:phoros:stele1.year4:front.5.3,urn:cite:phoros:places.26
urn:cts:phoros:stele1.year4:front.5.21,urn:cite:phoros:places.165
urn:cts:phoros:stele1.year4:front.5.22,urn:cite:phoros:places.166
urn:cts:phoros:stele1.year4:front.5.24,urn:cite:phoros:places.167
urn:cts:phoros:stele1.year4:front.5.25,urn:cite:phoros:places.168
urn:cts:phoros:stele1.year4:front.5.26,urn:cite:phoros:places.169
urn:cts:phoros:stele1.year4:front.5.27,urn:cite:phoros:places.87
urn:cts:phoros:stele1.year4:front.5.28,urn:cite:phoros:places.170
urn:cts:phoros:stele1.year4:front.5.29,urn:cite:phoros:places.171
urn:cts:phoros:stele1.year4:front.5.30,urn:cite:phoros:places.172
urn:cts:phoros:stele1.year4:front.5.31,urn:cite:phoros:places.173
urn:cts:phoros:stele1.year4:front.5.32,urn:cite:phoros:places.141
urn:cts:phoros:stele1.year4:front.5.33,urn:cite:phoros:places.142
urn:cts:phoros:stele1.year5:front.1.2,urn:cite:phoros:places.164
urn:cts:phoros:stele1.year5:front.1.3,urn:cite:phoros:places.126
urn:cts:phoros:stele1.year5:front.1.4,urn:cite:phoros:places.125
urn:cts:phoros:stele1.year5:front.1.5,urn:cite:phoros:places.46
urn:cts:phoros:stele1.year5:front.1.6,urn:cite:phoros:places.21
urn:cts:phoros:stele1.year5:front.1.7,urn:cite:phoros:places.160
urn:cts:phoros:stele1.year5:front.1.8,urn:cite:phoros:places.155
urn:cts:phoros:stele1.year5:front.1.9,urn:cite:phoros:places.76
urn:cts:phoros:stele1.year5:front.1.10,urn:cite:phoros:places.175
urn:cts:phoros:stele1.year5:front.1.11,urn:cite:phoros:places.128
urn:cts:phoros:stele1.year5:front.1.12,urn:cite:phoros:places.176
urn:cts:phoros:stele1.year5:front.1.13,urn:cite:phoros:places.20
urn:cts:phoros:stele1.year5:front.1.14,urn:cite:phoros:places.63
urn:cts:phoros:stele1.year5:front.1.15,urn:cite:phoros:places.63
urn:cts:phoros:stele1.year5:front.2.2,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year5:front.2.3,urn:cite:phoros:places.34
urn:cts:phoros:stele1.year5:front.2.4,urn:cite:phoros:places.44
urn:cts:phoros:stele1.year5:front.2.5,urn:cite:phoros:places.27
urn:cts:phoros:stele1.year5:front.2.6,urn:cite:phoros:places.174
urn:cts:phoros:stele1.year5:front.2.7,urn:cite:phoros:places.109
urn:cts:phoros:stele1.year5:front.2.8,urn:cite:phoros:places.151
urn:cts:phoros:stele1.year5:front.2.9,urn:cite:phoros:places.44
