StoneURN,ImgURN
urn:cite:phoros:stones.atl25,"urn:cite:shotimg:atl.ATL001@0.7327,0.3716,0.0921,0.0906"
urn:cite:phoros:stones.atl50,"urn:cite:shotimg:atl.ATL001@0.6136,0.6644,0.048,0.0789"
urn:cite:phoros:stones.atl56,"urn:cite:shotimg:atl.ATL001@0.8398,0.6359,0.0631,0.052"
urn:cite:phoros:stones.atl175,"urn:cite:shotimg:atl.ATL001@0.3804,0.5411,0.1101,0.0596"
urn:cite:phoros:stones.atlb9,"urn:cite:shotimg:atl.ATLpl16@0,0.3683,0.041,0.1139"
urn:cite:phoros:stones.atlb15,"urn:cite:shotimg:atl.ATLpl16@0.8679,0.142,0.0571,0.0932"
urn:cite:phoros:stones.atlb18,"urn:cite:shotimg:atl.ATLpl16@0.9039,0.3299,0.028,0.1257"
urn:cite:phoros:stones.atlb30,"urn:cite:shotimg:atl.ATLpl16@0.7738,0.4305,0.034,0.0251"
urn:cite:phoros:stones.atlb33,"urn:cite:shotimg:atl.ATLpl16@0.8208,0.4364,0.026,0.0355"
urn:cite:phoros:stones.atlb36,"urn:cite:shotimg:atl.ATLpl16@0.8779,0.4157,0.034,0.0355"
urn:cite:phoros:stones.atlb39,"urn:cite:shotimg:atl.ATLpl16@0.8298,0.4423,0.1001,0.108"
urn:cite:phoros:stones.atlb40,"urn:cite:shotimg:atl.ATLpl16@0.7267,0.4763,0.035,0.1006"
urn:cite:phoros:stones.atlb44,"urn:cite:shotimg:atl.ATLpl16@0.8048,0.4793,0.048,0.0814"
urn:cite:phoros:stones.atlb47,"urn:cite:shotimg:atl.ATLpl16@0.8609,0.4837,0.0901,0.071"
urn:cite:phoros:stones.atlb55,"urn:cite:shotimg:atl.ATLpl16@0.7748,0.6109,0.025,0.0562"
urn:cite:phoros:stones.atlb56,"urn:cite:shotimg:atl.ATLpl16@0.7918,0.6036,0.023,0.0148"
urn:cite:phoros:stones.atlb58,"urn:cite:shotimg:atl.ATLpl16@0.8228,0.5089,0.1201,0.1642"
urn:cite:phoros:stones.atl12,"urn:cite:shotimg:atl.ATL001@0.6136,0.1913,0.0691,0.0663"
urn:cite:phoros:stones.atl23,"urn:cite:shotimg:atl.ATL001@0.7828,0.3322,0.023,0.0227"
urn:cite:phoros:stones.atl39,"urn:cite:shotimg:atl.ATL001@0.8619,0.3859,0.032,0.057"
urn:cite:phoros:stones.atl105,"urn:cite:shotimg:atl.ATL001@0.2993,0.2861,0.1241,0.1107"
urn:cite:phoros:stones.atl173,"urn:cite:shotimg:atl.ATL001@0.4254,0.5159,0.042,0.057"
urn:cite:phoros:stones.atl174,"urn:cite:shotimg:atl.ATL001@0.3804,0.5411,0.1101,0.0596"
urn:cite:phoros:stones.atlb3,"urn:cite:shotimg:atl.ATLpl16@0.1502,0.142,0.038,0.0533"
urn:cite:phoros:stones.atlb13,"urn:cite:shotimg:atl.ATLpl16@0.4394,0.0059,0.1361,0.1834"
urn:cite:phoros:stones.atlb64,"urn:cite:shotimg:atl.ATLpl16@0.954,0.2426,0.032,0.0429"
urn:cite:phoros:stones.atlb53,"urn:cite:shotimg:atl.ATLpl16@0.7778,0.5473,0.045,0.0725"
urn:cite:phoros:stones.atlb51,"urn:cite:shotimg:atl.ATLpl16@0.8088,0.5325,0.0551,0.0769"
urn:cite:phoros:stones.atl13,"urn:cite:shotimg:atl.ATL001@0.7007,0.2307,0.022,0.0227"
