"site","name","year","obols","txt","change","sequence","payrecord"
"urn:cite:phoros:places.61","Thasos","3","1800","urn:cts:phoros:stele1.year3.hc1:front.5.19","same","96","urn:cite:phoros:payrec.272"
"urn:cite:phoros:places.116","Paisos","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.20","same","97","urn:cite:phoros:payrec.273"
"urn:cite:phoros:places.118","Gargara","3","450","urn:cts:phoros:stele1.year3.hc1:front.5.21","same","98","urn:cite:phoros:payrec.274"
"urn:cite:phoros:places.60","Singos","3","2400","urn:cts:phoros:stele1.year3.hc1:front.5.22","same","99","urn:cite:phoros:payrec.275"
"urn:cite:phoros:places.5","Ainos","3","1800","urn:cts:phoros:stele1.year3.hc1:front.5.24","down","101","urn:cite:phoros:payrec.277"
"urn:cite:phoros:places.11","Pitane","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.25","same","102","urn:cite:phoros:payrec.278"
"urn:cite:phoros:places.97","Gryneion","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.26","same","103","urn:cite:phoros:payrec.279"
"urn:cite:phoros:places.130","Daunion/Damnion","3","100","urn:cts:phoros:stele1.year3.hc1:front.5.27","same","104","urn:cite:phoros:payrec.280"
"urn:cite:phoros:places.139","Byzantion","3","9000","urn:cts:phoros:stele1.year3.hc1:front.5.28","same","105","urn:cite:phoros:payrec.281"
"urn:cite:phoros:places.9","Skione","4","3600","urn:cts:phoros:stele1.year4.hc1:front.1.2","same","2","urn:cite:phoros:payrec.285"
"urn:cite:phoros:places.105","Aphytis","4","1800","urn:cts:phoros:stele1.year4.hc1:front.1.4","same","4","urn:cite:phoros:payrec.287"
"urn:cite:phoros:places.143","Aige","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.5","same","5","urn:cite:phoros:payrec.288"
"urn:cite:phoros:places.112","Mende","4","4800","urn:cts:phoros:stele1.year4.hc1:front.1.6","same","6","urn:cite:phoros:payrec.289"
"urn:cite:phoros:places.131","Skepsis","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.7","down","7","urn:cite:phoros:payrec.290"
"urn:cite:phoros:places.144","Neapolis from Pallene ","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.8","same","8","urn:cite:phoros:payrec.291"
"urn:cite:phoros:places.114","Mykonos","4","900","urn:cts:phoros:stele1.year4.hc1:front.1.10","same","10","urn:cite:phoros:payrec.293"
"urn:cite:phoros:places.50","Kasolaba","4","250","urn:cts:phoros:stele1.year4.hc1:front.1.11","same","11","urn:cite:phoros:payrec.294"
"urn:cite:phoros:places.83","Lepsimandos","4","150","urn:cts:phoros:stele1.year4.hc1:front.1.12","same","12","urn:cite:phoros:payrec.295"
"urn:cite:phoros:places.64","Kedriai","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.13","same","13","urn:cite:phoros:payrec.296"
"urn:cite:phoros:places.125","Knidos","4","1800","urn:cts:phoros:stele1.year4.hc1:front.1.14","same","14","urn:cite:phoros:payrec.297"
"urn:cite:phoros:places.18","Chersonese","4","1800","urn:cts:phoros:stele1.year4.hc1:front.1.15","same","15","urn:cite:phoros:payrec.298"
"urn:cite:phoros:places.126","Pyrnos","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.16","same","16","urn:cite:phoros:payrec.299"
"urn:cite:phoros:places.110","Kaunos","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.17","same","17","urn:cite:phoros:payrec.300"
"urn:cite:phoros:places.145","Andros","4","7200","urn:cts:phoros:stele1.year4.hc1:front.1.18","same","18","urn:cite:phoros:payrec.301"
"urn:cite:phoros:places.146","Seriphos ","4","1200","urn:cts:phoros:stele1.year4.hc1:front.1.19","same","19","urn:cite:phoros:payrec.302"
"urn:cite:phoros:places.147","Koresos/κορεσια","4","1350","urn:cts:phoros:stele1.year4.hc1:front.1.20","same","20","urn:cite:phoros:payrec.303"
"urn:cite:phoros:places.148","Rheneia","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.21","same","21","urn:cite:phoros:payrec.304"
"urn:cite:phoros:places.149","Karystos","4","4500","urn:cts:phoros:stele1.year4.hc1:front.1.22","same","22","urn:cite:phoros:payrec.305"
"urn:cite:phoros:places.150","Grynche","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.23","same","23","urn:cite:phoros:payrec.306"
"urn:cite:phoros:places.51","Dikaia by Abdera","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.24","same","24","urn:cite:phoros:payrec.307"
"urn:cite:phoros:places.15","Olophyxos","4","200","urn:cts:phoros:stele1.year4.hc1:front.1.25","same","25","urn:cite:phoros:payrec.308"
"urn:cite:phoros:places.16","Dion","4","600","urn:cts:phoros:stele1.year4.hc1:front.1.26","same","26","urn:cite:phoros:payrec.309"
"urn:cite:phoros:places.16","Dion","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.27","down","27","urn:cite:phoros:payrec.310"
"urn:cite:phoros:places.90","Kodapa","4","100","urn:cts:phoros:stele1.year4.hc1:front.1.28","same","28","urn:cite:phoros:payrec.311"
"urn:cite:phoros:places.100","Pedasa","4","1200","urn:cts:phoros:stele1.year4.hc1:front.1.29","same","29","urn:cite:phoros:payrec.312"
"urn:cite:phoros:places.38","Halikarnassos","4","1000","urn:cts:phoros:stele1.year4.hc1:front.1.30","same","30","urn:cite:phoros:payrec.313"
"urn:cite:phoros:places.67","Kyllandos","4","1200","urn:cts:phoros:stele1.year4.hc1:front.1.31","same","31","urn:cite:phoros:payrec.314"
"urn:cite:phoros:places.41","Kyrbissos","4","200","urn:cts:phoros:stele1.year4.hc1:front.1.32","same","32","urn:cite:phoros:payrec.315"
"urn:cite:phoros:places.8","Therma in Ikaros","4","300","urn:cts:phoros:stele1.year4.hc1:front.1.33","up","33","urn:cite:phoros:payrec.316"
"urn:cite:phoros:places.46","Karbasyanda","4","100","urn:cts:phoros:stele1.year4.hc1:front.2.3","same","35","urn:cite:phoros:payrec.318"
"urn:cite:phoros:places.21","Krya","4","200","urn:cts:phoros:stele1.year4.hc1:front.2.4","same","36","urn:cite:phoros:payrec.319"
"urn:cite:phoros:places.76","Auliataι Kares","4","50","urn:cts:phoros:stele1.year4.hc1:front.2.5","same","37","urn:cite:phoros:payrec.320"
"urn:cite:phoros:places.44","Klazomenia","4","900","urn:cts:phoros:stele1.year4.hc1:front.2.6","same","38","urn:cite:phoros:payrec.321"
"urn:cite:phoros:places.151","Parparos","4","100","urn:cts:phoros:stele1.year4.hc1:front.2.7","same","39","urn:cite:phoros:payrec.322"
"urn:cite:phoros:places.34","Oine in Ikaros","4","800","urn:cts:phoros:stele1.year4.hc1:front.2.8","up","40","urn:cite:phoros:payrec.323"
"urn:cite:phoros:places.48","Termera","4","1500","urn:cts:phoros:stele1.year4.hc1:front.2.10","same","42","urn:cite:phoros:payrec.325"
"urn:cite:phoros:places.152","Teos","4","3600","urn:cts:phoros:stele1.year4.hc1:front.2.11","same","43","urn:cite:phoros:payrec.326"
"urn:cite:phoros:places.148","Rheneia","4","1800","urn:cts:phoros:stele1.year4.hc1:front.2.12","up","44","urn:cite:phoros:payrec.327"
"urn:cite:phoros:places.153","Palaiperkote","4","100","urn:cts:phoros:stele1.year4.hc1:front.2.13","same","45","urn:cite:phoros:payrec.328"
"urn:cite:phoros:places.20","Kameiros","4","5400","urn:cts:phoros:stele1.year4.hc1:front.2.14","same","46","urn:cite:phoros:payrec.329"
"urn:cite:phoros:places.99","Latmos","4","600","urn:cts:phoros:stele1.year4.hc1:front.2.15","same","47","urn:cite:phoros:payrec.330"
"urn:cite:phoros:places.60","Singos","4","2400","urn:cts:phoros:stele1.year4.hc1:front.2.16","same","48","urn:cite:phoros:payrec.331"
"urn:cite:phoros:places.32","Maroneia","4","300","urn:cts:phoros:stele1.year4.hc1:front.2.26","down","49","urn:cite:phoros:payrec.332"
"urn:cite:phoros:places.56","Sermylia","4","3550","urn:cts:phoros:stele1.year4.hc1:front.2.27","down","50","urn:cite:phoros:payrec.333"
"urn:cite:phoros:places.12","Thyssos","4","400","urn:cts:phoros:stele1.year4.hc1:front.2.28","same","51","urn:cite:phoros:payrec.334"
"urn:cite:phoros:places.136","Kyme","4","7200","urn:cts:phoros:stele1.year4.hc1:front.2.29","same","52","urn:cite:phoros:payrec.335"
"urn:cite:phoros:places.109","Kalymna","4","900","urn:cts:phoros:stele1.year4.hc1:front.2.30","same","53","urn:cite:phoros:payrec.336"
"urn:cite:phoros:places.174","Lebedos","4","1800","urn:cts:phoros:stele1.year4.hc1:front.2.31","same","54","urn:cite:phoros:payrec.337"
"urn:cite:phoros:places.154","Polichne in Karia","4","100","urn:cts:phoros:stele1.year4.hc1:front.2.32","same","55","urn:cite:phoros:payrec.338"
"urn:cite:phoros:places.55","Asseritis","4","2400","urn:cts:phoros:stele1.year4.hc1:front.3.21","up","57","urn:cite:phoros:payrec.340"
"urn:cite:phoros:places.155","Pasanda","4","300","urn:cts:phoros:stele1.year4.hc1:front.3.22","same","58","urn:cite:phoros:payrec.341"
"urn:cite:phoros:places.11","Pitane","4","100","urn:cts:phoros:stele1.year4.hc1:front.3.23","same","59","urn:cite:phoros:payrec.342"
"urn:cite:phoros:places.103","Bargylia","4","100","urn:cts:phoros:stele1.year4.hc1:front.3.24","same","60","urn:cite:phoros:payrec.343"
"urn:cite:phoros:places.96","Myndos","4","50","urn:cts:phoros:stele1.year4.hc1:front.3.25","same","61","urn:cite:phoros:payrec.344"
"urn:cite:phoros:places.93","Samothraki","4","3600","urn:cts:phoros:stele1.year4.hc1:front.3.26","down","62","urn:cite:phoros:payrec.345"
"urn:cite:phoros:places.156","Phegetioi","4","160","urn:cts:phoros:stele1.year4.hc1:front.3.28","same","64","urn:cite:phoros:payrec.347"
"urn:cite:phoros:places.157","Ikos","4","150","urn:cts:phoros:stele1.year4.hc1:front.3.30","same","66","urn:cite:phoros:payrec.349"
"urn:cite:phoros:places.22","Peparethos","4","1800","urn:cts:phoros:stele1.year4.hc1:front.4.2","same","67","urn:cite:phoros:payrec.350"
"urn:cite:phoros:places.61","Thasos","4","1800","urn:cts:phoros:stele1.year4.hc1:front.4.3","same","68","urn:cite:phoros:payrec.351"
"urn:cite:phoros:places.95","Lampsakos","4","7200","urn:cts:phoros:stele1.year4.hc1:front.4.4","same","69","urn:cite:phoros:payrec.352"
"urn:cite:phoros:places.24","Notion","4","200","urn:cts:phoros:stele1.year4.hc1:front.4.5","up","70","urn:cite:phoros:payrec.353"
"urn:cite:phoros:places.3","Elaia","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.6","same","71","urn:cite:phoros:payrec.354"
"urn:cite:phoros:places.116","Paisos","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.7","same","72","urn:cite:phoros:payrec.355"
"urn:cite:phoros:places.123","Perkote","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.8","same","73","urn:cite:phoros:payrec.356"
"urn:cite:phoros:places.158","Dardanos","4","900","urn:cts:phoros:stele1.year4.hc1:front.4.9","same","74","urn:cite:phoros:payrec.357"
"urn:cite:phoros:places.23","Kolophon","4","1800","urn:cts:phoros:stele1.year4.hc1:front.4.10","same","75","urn:cite:phoros:payrec.358"
"urn:cite:phoros:places.5","Ainos","4","1800","urn:cts:phoros:stele1.year4.hc1:front.4.11","same","76","urn:cite:phoros:payrec.359"
"urn:cite:phoros:places.6","Naxia","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.12","same","77","urn:cite:phoros:payrec.360"
"urn:cite:phoros:places.159","Selymbria","4","3600","urn:cts:phoros:stele1.year4.hc1:front.4.13","same","78","urn:cite:phoros:payrec.361"
"urn:cite:phoros:places.160","Kos","4","3000","urn:cts:phoros:stele1.year4.hc1:front.4.14","same","79","urn:cite:phoros:payrec.362"
"urn:cite:phoros:places.53","Olynthos","4","1200","urn:cts:phoros:stele1.year4.hc1:front.4.15","same","80","urn:cite:phoros:payrec.363"
"urn:cite:phoros:places.54","Skabla","4","300","urn:cts:phoros:stele1.year4.hc1:front.4.16","same","81","urn:cite:phoros:payrec.364"
"urn:cite:phoros:places.39","Strepsa","4","600","urn:cts:phoros:stele1.year4.hc1:front.4.17","same","82","urn:cite:phoros:payrec.365"
"urn:cite:phoros:places.161","Humisses","4","120","urn:cts:phoros:stele1.year4.hc1:front.4.18","same","83","urn:cite:phoros:payrec.366"
"urn:cite:phoros:places.35","Assos","4","600","urn:cts:phoros:stele1.year4.hc1:front.4.20","same","85","urn:cite:phoros:payrec.368"
"urn:cite:phoros:places.36","Neandreia","4","200","urn:cts:phoros:stele1.year4.hc1:front.4.21","same","86","urn:cite:phoros:payrec.369"
"urn:cite:phoros:places.37","Lamponeia","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.22","same","87","urn:cite:phoros:payrec.370"
"urn:cite:phoros:places.65","Keramos","4","900","urn:cts:phoros:stele1.year4.hc1:front.4.25","same","90","urn:cite:phoros:payrec.373"
"urn:cite:phoros:places.162","Aison","4","150","urn:cts:phoros:stele1.year4.hc1:front.4.26","same","91","urn:cite:phoros:payrec.374"
"urn:cite:phoros:places.70","Narisbara/Narasa/Narasar","4","100","urn:cts:phoros:stele1.year4.hc1:front.4.27","same","92","urn:cite:phoros:payrec.375"
"urn:cite:phoros:places.163","Thasthara","4","50","urn:cts:phoros:stele1.year4.hc1:front.4.28","same","93","urn:cite:phoros:payrec.376"
"urn:cite:phoros:places.120","Myrina","4","600","urn:cts:phoros:stele1.year4.hc1:front.4.29","same","94","urn:cite:phoros:payrec.377"
"urn:cite:phoros:places.132","Azeia","4","40","urn:cts:phoros:stele1.year4.hc1:front.4.31","same","96","urn:cite:phoros:payrec.379"
"urn:cite:phoros:places.128","Ialysos","4","6000","urn:cts:phoros:stele1.year4.hc1:front.4.32","same","97","urn:cite:phoros:payrec.380"
"urn:cite:phoros:places.26","Spartolos","4","1200","urn:cts:phoros:stele1.year4.hc1:front.5.2","same","98","urn:cite:phoros:payrec.381"
"urn:cite:phoros:places.167","Chalketor","4","200","urn:cts:phoros:stele1.year4.hc1:front.5.23","same","106","urn:cite:phoros:payrec.389"
"urn:cite:phoros:places.168","Kudaies/Hudaies","4","40","urn:cts:phoros:stele1.year4.hc1:front.5.24","same","107","urn:cite:phoros:payrec.390"
"urn:cite:phoros:places.169","Hyblisses","4","106","urn:cts:phoros:stele1.year4.hc1:front.5.25","same","108","urn:cite:phoros:payrec.391"
"urn:cite:phoros:places.87","Uranium","4","50","urn:cts:phoros:stele1.year4.hc1:front.5.26","down","109","urn:cite:phoros:payrec.392"
"urn:cite:phoros:places.170","Killares","4","100","urn:cts:phoros:stele1.year4.hc1:front.5.27","same","110","urn:cite:phoros:payrec.393"
"urn:cite:phoros:places.171","Thydonos","4","100","urn:cts:phoros:stele1.year4.hc1:front.5.28","same","111","urn:cite:phoros:payrec.394"
"urn:cite:phoros:places.172","Silos","4","150","urn:cts:phoros:stele1.year4.hc1:front.5.29","same","112","urn:cite:phoros:payrec.395"
"urn:cite:phoros:places.173","Telandros","4","600","urn:cts:phoros:stele1.year4.hc1:front.5.30","same","113","urn:cite:phoros:payrec.396"
"urn:cite:phoros:places.126","Pyrnos","5","100","urn:cts:phoros:stele1.year5.hc1:front.1.2","same","2","urn:cite:phoros:payrec.400"
"urn:cite:phoros:places.125","Knidos","5","3000","urn:cts:phoros:stele1.year5.hc1:front.1.3","up","3","urn:cite:phoros:payrec.401"
"urn:cite:phoros:places.46","Karbasyanda","5","100","urn:cts:phoros:stele1.year5.hc1:front.1.4","same","4","urn:cite:phoros:payrec.402"
"urn:cite:phoros:places.21","Krya","5","200","urn:cts:phoros:stele1.year5.hc1:front.1.5","same","5","urn:cite:phoros:payrec.403"
"urn:cite:phoros:places.160","Kos","5","2136","urn:cts:phoros:stele1.year5.hc1:front.1.6","down","6","urn:cite:phoros:payrec.404"
"urn:cite:phoros:places.155","Pasanda","5","300","urn:cts:phoros:stele1.year5.hc1:front.1.7","same","7","urn:cite:phoros:payrec.405"
"urn:cite:phoros:places.76","Auliataι Kares","5","50","urn:cts:phoros:stele1.year5.hc1:front.1.8","same","8","urn:cite:phoros:payrec.406"
"urn:cite:phoros:places.175","Chalke","5","300","urn:cts:phoros:stele1.year5.hc1:front.1.9","same","9","urn:cite:phoros:payrec.407"
"urn:cite:phoros:places.128","Ialysos","5","6000","urn:cts:phoros:stele1.year5.hc1:front.1.10","same","10","urn:cite:phoros:payrec.408"
"urn:cite:phoros:places.176","Mylasa","5","600","urn:cts:phoros:stele1.year5.hc1:front.1.11","same","11","urn:cite:phoros:payrec.409"
"urn:cite:phoros:places.20","Kameiros","5","5400","urn:cts:phoros:stele1.year5.hc1:front.1.12","same","12","urn:cite:phoros:payrec.410"
"urn:cite:phoros:places.63","Pikres Syangela","5","600","urn:cts:phoros:stele1.year5.hc1:front.1.13","up","13","urn:cite:phoros:payrec.411"
"urn:cite:phoros:places.34","Oine in Ikaros","5","600","urn:cts:phoros:stele1.year5.hc1:front.1.15","down","15","urn:cite:phoros:payrec.413"
"urn:cite:phoros:places.44","Klazomenia","5","900","urn:cts:phoros:stele1.year5.hc1:front.2.3","same","17","urn:cite:phoros:payrec.415"
"urn:cite:phoros:places.27","Hairai","5","1800","urn:cts:phoros:stele1.year5.hc1:front.2.4","same","18","urn:cite:phoros:payrec.416"
"urn:cite:phoros:places.174","Lebedos","5","1800","urn:cts:phoros:stele1.year5.hc1:front.2.5","same","19","urn:cite:phoros:payrec.417"
"urn:cite:phoros:places.109","Kalymna","5","900","urn:cts:phoros:stele1.year5.hc1:front.2.6","same","20","urn:cite:phoros:payrec.418"
"urn:cite:phoros:places.151","Parparos","5","100","urn:cts:phoros:stele1.year5.hc1:front.2.7","same","21","urn:cite:phoros:payrec.419"
"urn:cite:phoros:places.41","Kyrbissos","5","200","urn:cts:phoros:stele1.year5.hc1:front.2.8","same","22","urn:cite:phoros:payrec.420"
"urn:cite:phoros:places.152","Teos","5","3600","urn:cts:phoros:stele1.year5.hc1:front.2.9","same","23","urn:cite:phoros:payrec.421"
"urn:cite:phoros:places.96","Myndos","5","50","urn:cts:phoros:stele1.year5.hc1:front.2.10","same","24","urn:cite:phoros:payrec.422"
"urn:cite:phoros:places.198","Erythrai","5","270","urn:cts:phoros:stele1.year5.hc1:front.2.12","same","26","urn:cite:phoros:payrec.424"
"urn:cite:phoros:places.179","Karpathos","5","100","urn:cts:phoros:stele1.year5.hc1:front.2.17","same","31","urn:cite:phoros:payrec.429"
"urn:cite:phoros:places.120","Myrina","5","600","urn:cts:phoros:stele1.year5.hc1:front.2.27","same","33","urn:cite:phoros:payrec.431"
"urn:cite:phoros:places.35","Assos","5","600","urn:cts:phoros:stele1.year5.hc1:front.2.28","same","34","urn:cite:phoros:payrec.432"
"urn:cite:phoros:places.25","Diosera","5","100","urn:cts:phoros:stele1.year5.hc1:front.2.29","same","35","urn:cite:phoros:payrec.433"
"urn:cite:phoros:places.24","Notion","5","200","urn:cts:phoros:stele1.year5.hc1:front.2.30","same","36","urn:cite:phoros:payrec.434"
"urn:cite:phoros:places.50","Kasolaba","5","250","urn:cts:phoros:stele1.year5.hc1:front.2.31","same","37","urn:cite:phoros:payrec.435"
"urn:cite:phoros:places.49","Kebrene","5","870","urn:cts:phoros:stele1.year5.hc1:front.2.32","down","38","urn:cite:phoros:payrec.436"
"urn:cite:phoros:places.36","Neandreia","5","200","urn:cts:phoros:stele1.year5.hc1:front.2.33","same","39","urn:cite:phoros:payrec.437"
"urn:cite:phoros:places.47","Phaselis","5","1800","urn:cts:phoros:stele1.year5.hc1:front.2.34","down","40","urn:cite:phoros:payrec.438"
"urn:cite:phoros:places.8","Therma in Ikaros","5","300","urn:cts:phoros:stele1.year5.hc1:front.2.35","same","41","urn:cite:phoros:payrec.439"
"urn:cite:phoros:places.167","Chalketor","5","210","urn:cts:phoros:stele1.year5.hc1:front.2.37","up","43","urn:cite:phoros:payrec.441"
"urn:cite:phoros:places.168","Kudaies/Hudaies","5","40","urn:cts:phoros:stele1.year5.hc1:front.2.39","same","45","urn:cite:phoros:payrec.443"
"urn:cite:phoros:places.38","Halikarnassos","5","1200","urn:cts:phoros:stele1.year5.hc1:front.2.40","up","46","urn:cite:phoros:payrec.444"
"urn:cite:phoros:places.182","Aineia","5","1800","urn:cts:phoros:stele1.year5.hc1:front.3.7","same","48","urn:cite:phoros:payrec.446"
"urn:cite:phoros:places.40","Palepsos","5","900","urn:cts:phoros:stele1.year5.hc1:front.3.8","same","49","urn:cite:phoros:payrec.447"
"urn:cite:phoros:places.43","Dikaiopolis","5","600","urn:cts:phoros:stele1.year5.hc1:front.3.9","down","50","urn:cite:phoros:payrec.448"
"urn:cite:phoros:places.14","Sane","5","600","urn:cts:phoros:stele1.year5.hc1:front.3.11","same","52","urn:cite:phoros:payrec.450"
"urn:cite:phoros:places.183","Neapolis by Antisara","5","100","urn:cts:phoros:stele1.year5.hc1:front.3.12","same","53","urn:cite:phoros:payrec.451"
"urn:cite:phoros:places.57","Mekyberna","5","600","urn:cts:phoros:stele1.year5.hc1:front.3.14","same","55","urn:cite:phoros:payrec.453"
"urn:cite:phoros:places.54","Skabla","5","300","urn:cts:phoros:stele1.year5.hc1:front.3.15","same","56","urn:cite:phoros:payrec.454"
"urn:cite:phoros:places.55","Asseritis","5","2400","urn:cts:phoros:stele1.year5.hc1:front.3.16","same","57","urn:cite:phoros:payrec.455"
"urn:cite:phoros:places.156","Phegetioi","5","160","urn:cts:phoros:stele1.year5.hc1:front.3.17","same","58","urn:cite:phoros:payrec.456"
"urn:cite:phoros:places.51","Dikaia by Abdera","5","300","urn:cts:phoros:stele1.year5.hc1:front.3.18","same","59","urn:cite:phoros:payrec.457"
"urn:cite:phoros:places.52","Abdera","5","9000","urn:cts:phoros:stele1.year5.hc1:front.3.20","same","61","urn:cite:phoros:payrec.459"
"urn:cite:phoros:places.32","Maroneia","5","900","urn:cts:phoros:stele1.year5.hc1:front.3.21","up","62","urn:cite:phoros:payrec.460"
"urn:cite:phoros:places.12","Thyssos","5","900","urn:cts:phoros:stele1.year5.hc1:front.3.22","up","63","urn:cite:phoros:payrec.461"
"urn:cite:phoros:places.5","Ainos","5","7200","urn:cts:phoros:stele1.year5.hc1:front.3.23","up","64","urn:cite:phoros:payrec.462"
"urn:cite:phoros:places.93","Samothraki","5","3600","urn:cts:phoros:stele1.year5.hc1:front.3.24","same","65","urn:cite:phoros:payrec.463"
"urn:cite:phoros:places.201","Neapolis of Menda abroad","5","300","urn:cts:phoros:stele1.year5.hc1:front.3.25","same","66","urn:cite:phoros:payrec.464"
"urn:cite:phoros:places.75","Berytis below Mt. Ida","5","100","urn:cts:phoros:stele1.year5.hc1:front.3.27","same","68","urn:cite:phoros:payrec.466"
"urn:cite:phoros:places.53","Olynthos","5","1200","urn:cts:phoros:stele1.year5.hc1:front.3.29","same","70","urn:cite:phoros:payrec.468"
"urn:cite:phoros:places.39","Strepsa","5","600","urn:cts:phoros:stele1.year5.hc1:front.3.30","same","71","urn:cite:phoros:payrec.469"
"urn:cite:phoros:places.162","Aison","5","150","urn:cts:phoros:stele1.year5.hc1:front.3.31","same","72","urn:cite:phoros:payrec.470"
"urn:cite:phoros:places.158","Dardanos","5","276","urn:cts:phoros:stele1.year5.hc1:front.3.32","down","73","urn:cite:phoros:payrec.471"
"urn:cite:phoros:places.184","Akanthos","5","3000","urn:cts:phoros:stele1.year5.hc1:front.3.33","same","74","urn:cite:phoros:payrec.472"
"urn:cite:phoros:places.48","Termera","5","1500","urn:cts:phoros:stele1.year5.hc1:front.3.34","same","75","urn:cite:phoros:payrec.473"
"urn:cite:phoros:places.185","Pargasa","5","100","urn:cts:phoros:stele1.year5.hc1:front.3.35","same","76","urn:cite:phoros:payrec.474"
"urn:cite:phoros:places.137","Perinthos","5","2293","urn:cts:phoros:stele1.year5.hc1:front.3.36","up","77","urn:cite:phoros:payrec.475"
"urn:cite:phoros:places.186","Gentinos","5","50","urn:cts:phoros:stele1.year5.hc1:front.3.37","same","78","urn:cite:phoros:payrec.476"
"urn:cite:phoros:places.107","Tenedos","5","1728","urn:cts:phoros:stele1.year5.hc1:front.3.38","down","79","urn:cite:phoros:payrec.477"
"urn:cite:phoros:places.187","Skiathos","5","100","urn:cts:phoros:stele1.year5.hc1:front.3.39","same","80","urn:cite:phoros:payrec.478"
"urn:cite:phoros:places.131","Skepsis","5","100","urn:cts:phoros:stele1.year5.hc1:front.3.40","same","81","urn:cite:phoros:payrec.479"
"urn:cite:phoros:places.186","Gentinos","7","50","urn:cts:phoros:stele1.year7.hc1:front.1.3","same","3","urn:cite:phoros:payrec.482"
"urn:cite:phoros:places.1","Stageira","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.4","same","4","urn:cite:phoros:payrec.483"
"urn:cite:phoros:places.65","Keramos","7","900","urn:cts:phoros:stele1.year7.hc1:front.1.5","same","5","urn:cite:phoros:payrec.484"
"urn:cite:phoros:places.20","Kameiros","7","4500","urn:cts:phoros:stele1.year7.hc1:front.1.6","down","6","urn:cite:phoros:payrec.485"
"urn:cite:phoros:places.38","Halikarnassos","7","1200","urn:cts:phoros:stele1.year7.hc1:front.1.7","same","7","urn:cite:phoros:payrec.486"
"urn:cite:phoros:places.120","Myrina","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.8","same","8","urn:cite:phoros:payrec.487"
"urn:cite:phoros:places.57","Mekyberna","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.9","same","9","urn:cite:phoros:payrec.488"
"urn:cite:phoros:places.202","Pladasa","7","200","urn:cts:phoros:stele1.year7.hc1:front.1.10","same","10","urn:cite:phoros:payrec.489"
"urn:cite:phoros:places.100","Pedasa","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.11","down","11","urn:cite:phoros:payrec.490"
"urn:cite:phoros:places.136","Kyme","7","5400","urn:cts:phoros:stele1.year7.hc1:front.1.12","down","12","urn:cite:phoros:payrec.491"
"urn:cite:phoros:places.11","Pitane","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.13","same","13","urn:cite:phoros:payrec.492"
"urn:cite:phoros:places.97","Gryneion","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.14","same","14","urn:cite:phoros:payrec.493"
"urn:cite:phoros:places.164","Chersonesos","7","1800","urn:cts:phoros:stele1.year7.hc1:front.1.15","same","15","urn:cite:phoros:payrec.494"
"urn:cite:phoros:places.126","Pyrnos","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.16","same","16","urn:cite:phoros:payrec.495"
"urn:cite:phoros:places.30","Neapolis","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.17","down","17","urn:cite:phoros:payrec.496"
"urn:cite:phoros:places.67","Kyllandos","7","1200","urn:cts:phoros:stele1.year7.hc1:front.1.18","same","18","urn:cite:phoros:payrec.497"
"urn:cite:phoros:places.41","Kyrbissos","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.19","down","19","urn:cite:phoros:payrec.498"
"urn:cite:phoros:places.68","Chios in Karia","7","100","urn:cts:phoros:stele1.year7.hc1:front.1.20","down","20","urn:cite:phoros:payrec.499"
"urn:cite:phoros:places.105","Aphytis","7","1800","urn:cts:phoros:stele1.year7.hc1:front.1.21","same","21","urn:cite:phoros:payrec.500"
"urn:cite:phoros:places.203","Syangela","7","600","urn:cts:phoros:stele1.year7.hc1:front.1.22","same","22","urn:cite:phoros:payrec.501"
"urn:cite:phoros:places.48","Termera","7","1500","urn:cts:phoros:stele1.year7.hc1:front.1.23","same","23","urn:cite:phoros:payrec.502"
"urn:cite:phoros:places.204","Idyma","7","520","urn:cts:phoros:stele1.year7.hc1:front.1.24","same","24","urn:cite:phoros:payrec.503"
"urn:cite:phoros:places.32","Maroneia","7","900","urn:cts:phoros:stele1.year7.hc1:front.1.25","same","25","urn:cite:phoros:payrec.504"
